business_id,name,address,city,state,type,statut,date_statut,latitude,longitude,x,y,gps,original_gps,corrected,correction_method
15080,PIZZA NAZAR,3793   Rue Villeray ,Montréal,"Québec, Canada",Restaurant service rapide,Fermé changement d'exploitant,20111103,45.566285,-73.599265,297051.54,5047379.73,"45.5660326,-73.5997079","45.5660326,-73.5997079",False,
606,TERRAZA,3673   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Restaurant service rapide,Fermé changement d'exploitant,20090212,45.514504,-73.573891,299026.9,5041623.12,"45.5146536,-73.5738563","45.5146536,-73.5738563",False,
15086,PRATO PIZZERIA ET CAFE,3891   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20171108,45.516109,-73.577491,298745.75,5041801.83,"45.5162542,-73.5774915","45.5162542,-73.5774915",False,
608,RESTAURANT EPICES DE SETZCHOUAN,3419   Avenue Papineau ,Montréal,"Québec, Canada",Restaurant,Fermé,20160421,45.528203,-73.564476,299763.67,5043144.85,"45.5284518,-73.5645235","45.5284518,-73.5645235",False,
15096,DEPANNEUR LES BONS AMIS PLUS,2701   Rue Villeray ,Montréal,"Québec, Canada",Épicerie,Fermé,20151211,45.558819,-73.605966,296527.34,5046550.7,"45.5589524,-73.6061614","45.5589524,-73.6061614",False,
497,BOULANGERIE MONTPELLIER,740  174 Boulevard Côte-Vertu ,St-Laurent,"Québec, Canada",Boulangerie,Fermé,20130722,45.520734,-73.674158,291194.48,5042327.55,"45.5142942,-73.6832845","45.5142942,-73.6832845",False,
12260,LA BECANE ROUGE RESTO,4316   Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20100115,45.551003,-73.533974,302147.29,5045677.26,"45.5509569,-73.5338232","45.5509569,-73.5338232",False,
3764,MIMMI ET COCO,1360  120 Boulevard René-Lévesque Ouest,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20110915,45.496071,-73.572738,299115.09,5039574.62,"46.8042188,-71.227146","46.8042188,-71.227146",False,
1750,ITAL-PLUS RAISINS A JUS ET IMPORTATIONS,8795   Rue Pascal-Gagnon ,St-Léonard,"Québec, Canada",Autres,Ouvert,20081113,45.603717,-73.591728,297644.61,5051538.92,"45.6038868,-73.591261","45.6038868,-73.591261",False,
1723,LES ETOILES DE VILLE EMARD,6244   Boulevard Monk ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20100409,45.456204,-73.595157,297357.68,5035146.04,"45.456294,-73.5949982","45.456294,-73.5949982",False,
4325,DEPANNEUR JEAN,230   Rue Gounod ,Montréal,"Québec, Canada",Épicerie,Fermé changement d'exploitant,20100105,45.540358,-73.626894,294890.28,5044501.56,"45.5401563,-73.6268547","45.5401563,-73.6268547",False,
1684,RESTO MON-REAL,5509   Rue Laurendeau ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20100805,45.463606,-73.587868,297928.71,5035967.91,"45.4634068,-73.5880058","45.4634068,-73.5880058",False,
1672,DEPANNEUR BEAU SOURIRE,6443   Rue Laurendeau ,Montréal,"Québec, Canada",Épicerie,Fermé changement d'exploitant,20151216,45.454248,-73.589308,297814.88,5034928.09,"45.4544605,-73.5894707","45.4544605,-73.5894707",False,
586,CAFE CC,1440   Rue Stanley ,Montréal,"Québec, Canada",Casse-croûte,Fermé changement d'exploitant,20111025,45.499659,-73.574281,298994.91,5039973.46,"45.4993941,-73.5749137","45.4993941,-73.5749137",False,
12492,LA BONBONNIERE - SWEET FACTORY #140B,975  140B Boulevard Roméo-Vachon Nord,Dorval,"Québec, Canada",Épicerie avec préparation,Fermé changement d'exploitant,20090416,45.456946,-73.747329,285456.44,5035253.87,"45.4562629,-73.751372","45.4562629,-73.751372",False,
12493,LA BONBONNIERE-SWEET FACTORY(USA-56),975  TR-CK-05 Boulevard Roméo-Vachon Nord,Dorval,"Québec, Canada",Épicerie avec préparation,Fermé changement d'exploitant,20090416,45.456946,-73.747329,285456.44,5035253.87,"45.4647437,-73.7504712","45.4647437,-73.7504712",False,
12494,RELAY/DECOUVRIR UN PAYS (DEPART),975  141 A Boulevard Roméo-Vachon Nord,Dorval,"Québec, Canada",Magasin à rayons,Fermé,20230602,45.456946,-73.747329,285456.44,5035253.87,"45.4533962,-73.7470046","45.4533962,-73.7470046",False,
12495,LE RELAIS #2101 - COTE DOMESTIQUE,975  2101 Boulevard Roméo-Vachon Nord,Dorval,"Québec, Canada",Magasin à rayons,Fermé,20090424,45.456946,-73.747329,285456.44,5035253.87,"45.4533962,-73.7470046","45.4533962,-73.7470046",False,
